1.292,2A#,1A#,,1F,,,0.035
1.327,,1A#,,1F,,,0.002
1.329,,1A#,,,,,0.004
1.333,,,,,,,0.037
1.370,2E,,,,,,0.011
1.381,2E,4G#,,,,,0.001
1.382,2E,4G#,5C#,,,,0.020
1.402,2E,4G#,5C#,4F,,,0.022
1.424,2E,4G#,5C#,4F,2A#,,0.116
1.540,2E,4G#,5C#,4F,2A#,2F#,0.005
1.545,,4G#,5C#,4F,2A#,2F#,0.004
1.549,,4G#,5C#,4F,,2F#,0.007
1.556,,4G#,5C#,4F,,2F#,0.003
1.559,4A#,4G#,5C#,4F,,2F#,0.001
1.560,4A#,4G#,5C#,4F,2C,2F#,0.002
1.562,4A#,,5C#,4F,2C,2F#,0.012
1.574,4A#,4D,5C#,4F,2C,2F#,0.003
1.577,4A#,4D,5C#,,2C,2F#,0.006
1.583,4A#,4D,,,2C,2F#,0.083
1.666,4A#,4D,,,2C,,0.042
1.708,4A#,4D,,,,,0.052
1.760,4A#,,,,,,0.012
1.772,4A#,,,,,,0.044
1.816,,,,,,,0.074
1.890,2A#,,,,,,0.011
1.901,2A#,2E,,,,,0.017
1.918,2A#,2E,4G#,,,,0.001
1.919,2A#,2E,4G#,5C#,,,0.026
1.945,2A#,2E,4G#,5C#,4F,,0.079
2.024,,2E,4G#,5C#,4F,,0.010
2.034,,,4G#,5C#,4F,,0.016
2.050,2F#,,4G#,5C#,4F,,0.036
2.086,2F#,,4G#,5C#,4F,,0.005
2.091,2F#,4A#,4G#,5C#,4F,,0.003
2.094,2F#,4A#,4G#,5C#,4F,2C,0.017
2.111,2F#,4A#,4G#,5C#,4F,2C,0.004
2.115,2F#,4A#,4G#,,4F,2C,0.001
2.116,2F#,4A#,,,4F,2C,0.010
2.126,2F#,4A#,,,,2C,0.058
2.184,,4A#,,,,2C,0.047
2.231,,4A#,,,,,0.051
2.282,,4A#,,,,,0.012
2.294,,4A#,,,,,0.036
2.330,,,,,,,0.071
2.401,2A#,,,,,,0.009
2.410,2A#,2E,,,,,0.003
2.413,2A#,2E,4G#,,,,0.010
2.423,2A#,2E,4G#,5C#,,,0.046
2.469,2A#,2E,4G#,5C#,4F,,0.059
2.528,2A#,,4G#,5C#,4F,,0.006
2.534,,,4G#,5C#,4F,,0.008
2.542,2F#,,4G#,5C#,4F,,0.045
2.587,2F#,2C,4G#,5C#,4F,,0.014
2.601,2F#,2C,4G#,5C#,4F,,0.009
2.610,2F#,2C,4G#,5C#,4F,4A#,0.017
2.627,2F#,2C,,5C#,4F,4A#,0.007
2.634,2F#,2C,4D,5C#,4F,4A#,0.002
2.636,2F#,2C,4D,5C#,,4A#,0.002
2.638,,2C,4D,5C#,,4A#,0.017
2.655,,2C,4D,,,4A#,0.014
2.669,,,4D,,,4A#,0.075
2.744,2F#,,4D,,,4A#,0.011
2.755,2F#,3A,4D,,,4A#,0.030
2.785,2F#,3A,4D,2C,,4A#,0.003
2.788,2F#,3A,,2C,,4A#,0.009
2.797,2F#,3A,,2C,,,0.005
2.802,2F#,3A,3D#,2C,2D#,,0.046
2.848,,3A,3D#,2C,2D#,,0.010
2.858,,,3D#,2C,2D#,,0.021
2.879,,,3D#,,2D#,,0.048
2.927,,,3D#,,,,0.045
2.972,2D#,,3D#,,,,0.151
3.123,2D#,2A#,3D#,,,,0.001
3.124,2D#,2A#,3D#,2F#,,,0.009
3.133,,2A#,3D#,2F#,,,0.008
3.141,2E,2A#,3D#,2F#,,,0.003
3.144,2E,2A#,3D#,2F#,1A#,,0.006
3.150,2E,2A#,,2F#,1A#,,0.069
3.219,2E,2A#,,,1A#,,0.020
3.239,,2A#,,,1A#,,0.031
3.270,,2A#,,,,,0.005
3.275,,2A#,,,,,0.013
3.288,2C#,2A#,,,,,0.001
3.289,2C#,2A#,3C#,,,,0.027
3.316,2C#,,3C#,,,,0.091
3.407,2C#,,3C#,,,,0.006
3.413,,,3C#,,,,0.047
3.460,2F#,,3C#,,,,0.007
3.467,2F#,3D#,3C#,,,,0.005
3.472,2F#,3D#,3C#,2D#,,,0.010
3.482,2F#,3D#,3C#,2D#,2C,,0.001
3.483,2F#,3D#,,2D#,2C,,0.067
3.550,,3D#,,2D#,2C,,0.031
3.581,,3D#,,,2C,,0.009
3.590,,3D#,,,,,0.071
3.661,2D#,3D#,,,,,0.132
3.793,,3D#,,,,,0.011
3.804,2F#,3D#,,,,,0.020
3.824,2F#,3D#,2E,,,,0.004
3.828,2F#,3D#,2E,1A#,,,0.002
3.830,2F#,3D#,2E,1A#,2A#,,0.014
3.844,2F#,,2E,1A#,2A#,,0.069
3.913,,,2E,1A#,2A#,,0.017
3.930,,,,1A#,2A#,,0.013
3.943,,,,,2A#,,0.055
3.998,,,,,2A#,,0.003
4.001,2C#,,,,2A#,,0.009
4.010,2C#,3C#,,,2A#,,0.019
4.029,2C#,3C#,,,,,0.115
4.144,,3C#,,,,,0.037
4.181,2F#,3C#,,,,,0.010
4.191,2F#,3C#,3D#,2D#,,,0.001
4.192,2F#,3C#,3D#,2D#,2C,,0.016
4.208,2F#,,3D#,2D#,2C,,0.073
4.281,,,3D#,2D#,2C,,0.016
4.297,,,3D#,2D#,,,0.003
4.300,,,3D#,,,,0.069
4.369,2D#,,3D#,,,,0.111
4.480,,,3D#,,,,0.056
4.536,2F#,,3D#,,,,0.013
4.549,2F#,2A#,3D#,,,,0.001
4.550,2F#,2A#,3D#,1A#,,,0.006
4.556,2F#,2A#,3D#,1A#,2E,,0.009
4.565,2F#,2A#,,1A#,2E,,0.081
4.646,,2A#,,1A#,2E,,0.014
4.660,,2A#,,,2E,,0.001
4.661,,2A#,,,,,0.062
4.723,2C#,2A#,,,,,0.001
4.724,2C#,2A#,,,,,0.015
4.739,2C#,3C#,,,,,0.109
4.848,,3C#,,,,,0.006
4.854,,3C#,,,,,0.050
4.904,2D#,3C#,,,,,0.006
4.910,2D#,3C#,2F#,,,,0.003
4.913,2D#,3C#,2F#,3D#,,,0.004
4.917,2D#,3C#,2F#,3D#,2C,,0.016
4.933,2D#,,2F#,3D#,2C,,0.080
5.013,2D#,,2F#,3D#,,,0.005
5.018,2D#,,,3D#,,,0.005
5.023,,,,3D#,,,0.071
5.094,2D#,,,3D#,,,0.124
5.218,,,,3D#,,,0.011
5.229,2F#,,,3D#,,,0.030
5.259,2F#,2E,,3D#,,,0.001
5.260,2F#,2E,1A#,3D#,,,0.017
5.277,2F#,2E,1A#,3D#,2A#,,0.033
5.310,2F#,2E,1A#,,2A#,,0.039
5.349,,2E,1A#,,2A#,,0.006
5.355,,,1A#,,2A#,,0.005
5.360,,,,,2A#,,0.062
5.422,2C#,,,,2A#,,0.017
5.439,2C#,,,,2A#,,0.001
5.440,2C#,3C#,,,2A#,,0.024
5.464,2C#,3C#,,,,,0.064
5.528,2C#,3C#,,,,,0.030
5.558,,3C#,,,,,0.029
5.587,,,,,,,0.059
5.646,3D#,4F#,4D#,2C,2F#,,0.063
5.709,3D#,4F#,4D#,2C,2F#,3A#,0.041
5.750,3D#,4F#,,2C,,3A#,0.006
5.756,3D#,4F#,,,,3A#,0.028
5.784,3D#,4F#,4D#,,,3A#,0.008
5.792,3D#,,4D#,,,3A#,0.018
5.810,3D#,3F#,4D#,,,3A#,0.028
5.838,3D#,3F#,4D#,,,,0.042
5.880,3D#,3F#,4D#,,,,0.022
5.902,3D#,,4D#,,,,0.058
5.960,3D#,2A#,4D#,2E,,,0.018
5.978,3D#,2A#,4D#,2E,2F#,,0.004
5.982,,2A#,4D#,2E,2F#,,0.004
5.986,,2A#,4D#,2E,2F#,,0.010
5.996,,2A#,4D#,2E,2F#,,0.028
6.024,,2A#,,2E,2F#,,0.051
6.075,3A#,2A#,,2E,2F#,,0.012
6.087,3A#,2A#,,2E,,,0.019
6.106,3A#,2A#,,2E,,,0.012
6.118,3A#,2A#,,,,,0.012
6.130,3A#,2A#,3C#,,,,0.022
6.152,3A#,2A#,3C#,3F#,,,0.010
6.162,3A#,,3C#,3F#,,,0.001
6.163,3A#,2A#,3C#,3F#,,,0.022
6.185,,2A#,3C#,3F#,,,0.046
6.231,3D#,2A#,3C#,3F#,,,0.026
6.257,3D#,2A#,3C#,,,,0.020
6.277,3D#,,3C#,,,,0.031
6.308,3D#,4D#,3C#,,,,0.003
6.311,3D#,4D#,3C#,2F#,,,0.012
6.323,3D#,4D#,3C#,2F#,2C,,0.004
6.327,3D#,4D#,3C#,2F#,2C,,0.002
6.329,,4D#,3C#,2F#,2C,,0.019
6.348,,4D#,,2F#,2C,,0.041
6.389,3A#,4D#,,2F#,2C,,0.017
6.406,3A#,4D#,,,2C,,0.018
6.424,3A#,,,,2C,,0.033
6.457,3A#,,,,,,0.027
6.484,3A#,4C#,,,,,0.007
6.491,3A#,4C#,3F#,,,,0.042
6.533,,4C#,3F#,,,,0.022
6.555,3D#,4C#,3F#,,,,0.020
6.575,3D#,4C#,,,,,0.027
6.602,3D#,,,,,,0.044
6.646,3D#,4D#,,,,,0.003
6.649,3D#,4D#,2F#,,,,0.010
6.659,3D#,4D#,2F#,2E,,,0.003
6.662,3D#,4D#,2F#,2E,,,0.010
6.672,,4D#,2F#,2E,,,0.009
6.681,2A#,4D#,2F#,2E,,,0.024
6.705,2A#,4D#,2F#,2E,,,0.041
6.746,2A#,4D#,,2E,,,0.001
6.747,2A#,4D#,3A#,2E,,,0.028
6.775,2A#,,3A#,2E,,,0.022
6.797,2A#,,3A#,,,,0.005
6.802,2A#,,3A#,,,,0.033
